position,company,wages,place,education,work_experience,release_date,limit_people,address,company_type,company_size,industry,point_information
Python开发工程师,赛伯尔（大连）信息技术咨询有限公司,0.8-1万/月,大连-高新园区,大专,无需经验,07-03发布,招5人,汇贤街腾飞软件园一期东翼710,民营公司,50-150人,"计算机软件,专业服务(咨询、人力资源、财会)",1.python工程师，有批量处理经验2.日语N3相当3.有对日项目经验至少1年职能类别：软件工程师关键字：python微信分享
python开发工程师-D0603,上海合合信息科技股份有限公司,1.5-2万/月,上海-静安区,本科,3-4年经验,07-03发布,招1人,万荣路1268号云立方A座11/12F,民营公司,500-1000人,"计算机软件,互联网/电子商务","工作职责:负责启信宝新闻舆情系统的开发和维护工作负责启信宝新闻舆情ToB项目开发工作任职资格:1. 精通Python,  有良好的编程基础和编程习惯，有python web, 爬虫，数据处理等经验者优先2. 熟悉linux环境，有Linux下程序开发，部署和维护经验3. 熟悉mysql, redis, elasticesarch, nginx等4. 热爱学习技术, 长期关注技术的发展趋势，github等开源社区有贡献者优先。5. 有较好的交流沟通能力，有较强的分析和解决问题的能力，较强的责任心，工作踏实、细心职能类别：Python开发工程师微信分享"
Python开发工程师,广州优视电子有限责任公司,0.5-1.2万/月,广州-番禺区,大专,3-4年经验,07-03发布,招5人,市桥地铁站B出口3分钟即到,民营公司,少于50人,"网络游戏,计算机软件",因疫情影响，为了保障员工的身体健康，我公司开发部已搬回番禺！如果你技术能力扎实，能独当一面，请加入我们！如果你是对生活有想法，对未来有期望，请加入我们！如果你是希望在因疫情影响而经济不景气的情况下更好的生活，请加入我们！如果你有毅力，能拼搏，肯吃苦，请加入我们！如果你有完整的项目，需要合作的，请联系我们！广州优视电子（www.y999s.com）诚聘：python爬虫工程师：工作内容：网页资源爬取与防止被爬取的技术工作职位描述：一、岗位工作范围和职责：1、爬虫程序设计，开发和维护；熟悉web前、后端技术的优先；2、多采集源的采集、入库和分析；3、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；4、有一定的web前端技能，了解或熟悉HTML5、CSS、Javascript；5、有大型网络服务开发经验者优先；二、专业知识和技能的要求：1、3年以上Python开发工作经验，2年以上数据爬虫产品项目经验；2、熟练使用Python等编码技术，熟练基于Python的web开发框架， 熟悉opencv等视觉库；3、熟练掌握多种爬虫框架实现互联网数据采集、内容提取，擅长反爬虫，验证码破解，代理技术等；4、熟悉基本的图像处理，例如去噪、增强、分割、校正、特征检测及匹配、图像多尺度分析等；5、熟悉MVC架构，精通Django或者其他PythonWeb开发框架者优先；6、具备数据库设计能力，精通掌握MySQL者优先；7、熟悉Linux操作系统，熟悉ApacheTomcatNgnix等WebServer的部署和应用；8、有SaaS平台、舆情采集、分布式调度、搜索推荐产品经验优先；9、有nutch、heritrix抓取经验或者分布式抓取经验者优先；另：接收优秀实习生实习，实习优秀者可转正；职能类别：软件工程师关键字：python爬虫微信分享
Python开发工程师,上海莫能臣智能科技有限公司,0.8-1.2万/月,上海-杨浦区,本科,1年经验,07-03发布,招1人,黄兴路221号（互联宝地）B4栋301室,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",岗位职责：1、负责web端实现；2、负责与移动端对接 API 接口设计及开发，主要开发语言为 Python；3、负责现有项目的维护和重构；4、根据需求文档进行相关产品的开发、撰写开发文档。岗位要求：1、熟悉网络编程，了解常用网络协议；2、掌握关系数据库及 SQL 相关知识，了解基本优化和设计原则；3、良好的编码风格，沟通能力和团队合作精神，有责任感。加分项：1、熟悉 RESTful 接口风格；2、熟悉 PostgreSQL、MySQL 等数据库，具备数据库调优经验；3、熟悉 Python 语言，了解 Tornado 等异步开发框架或模型；4、有前端开发经验，了解 HTML、CSS、JavaScript；5、对开源技术有强烈的兴趣和爱好，参与或向开发者提交过 bug 和 patch 者优先。职能类别：软件工程师其他关键字：Python微信分享
Python开发工程师,广东精点数据科技股份有限公司,0.9-1.4万/月,广州-天河区,本科,2年经验,07-03发布,招1人,天河北路906号高科大厦A座7F,民营公司,150-500人,"计算机软件,计算机硬件","岗位职责：1.数据挖掘、爬虫、图像识别、大数据方向前沿技术研究和关键代码实现；2.基于给定的数据和业务需求，主要基于python实现，用高效的方式完成代码落地，上线并跟进；3.配合产品，后端和前端工程师完成产品研发工作；4.配合算法岗，训练和测试机器学习、深度学习算法模型，开发图像处理程序，模型应用服务的封装、开发和维护；5.负责相关领域技术与应用的技术方案和发明专利的编写工作；岗位要求：1.全日制本科及以上学历（学信网可查），计算机、数学、统计学、人工智能等相关专业，1年及以上相关工作经验；接触过计算机视觉领域，熟悉pytorch，tensorflow等常用深度学习框架优先考虑；2.熟悉Flask,gunicorn等常用PythonWeb技术；3.具有快速学习能力和独立思考解决问题的能力，有较强的研究能力和代码能力；4.良好的英文文档阅读能力，具备规范的代码注释和md文档编写能力优先。基础福利：1.周末双休（7.5h/天）；2.五险一金；3.重大节日礼品、团建活动等；4.带薪年假、带薪病假、年度调薪、年终奖、优秀员工奖、优秀项目奖等。上班地址：广州市天河区天河北路906号高科大厦A座7层-精点数据上班时间：周一至周五9:00-12:00,13:30-18:00职能类别：Python开发工程师深度学习工程师关键字：python开发python人工智能计算机视觉微信分享"
Python工程师 (职位编号：1),丽台（上海）信息科技有限公司,1-2万/月,上海-徐汇区,本科,1年经验,07-03发布,招1人,莲花路1978号E栋5楼,外资（非欧美）,50-150人,计算机硬件,1、负责公司软件产品的设计、选型、框架搭建、开发、部署、维护等工作；2、负责与人工智能系统工程相关的需求的实现；3、负责开发文档的编写，代码质量管理；4、通过不断的技术研究和创新，推动公司业务的快速发展和高效迭代。岗位要求：1、计算机相关专业，大学本科及以上学历。有2年及以上开发工作经验优先，亦欢迎优秀应届毕业生；2、精通Python语言和Flask/Django等Web开发框架，能进行独立开发。具有良好的编程习惯和代码风格，能够撰写相关技术文档；3、有前端（HTML、CSS、JavaScript等）开发经验，熟悉bootstrap、VUE等前端框架；4、能熟练使用版本工具，如Git；5、精通MySQL等常用数据库；6、有大数据及人智能工作经验，了解Tensorflow、PyTorch等机器学习（深度学习）框架及Numpy、Pandas等科学计算及数据分析库；7、善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神；8、编码和团队协作能力强，能够独立支撑一个研究方向，勇于挑战和创新，工作主动性强。工作时间：做五休二早8:00-晚5:00（考虑到上海交通压力较大，每天有2小时弹性工作时间）工作地点：上海市闵行区莲花路1978号E栋（9号线漕河泾开发区站）公司爱惜人才，公司氛围佳，福利好，人性化管理，速投简历吧！职能类别：Python开发工程师软件工程师关键字：python软件开发django微信分享
python开发工程师,广州亚美信息科技有限公司,1.5-2.2万/月,广州,本科,3-4年经验,07-03发布,招4人,广东省广州市天河区高唐路227号时代E-PARK，3栋,民营公司,500-1000人,互联网/电子商务,工作职责:1、参与软件系统的需求调研和需求分析工作；2、参与系统的分析和概要设计工作；3、参与效率工程核心模块的程序编码工作；4、负责项目的前端、后端基础设施实现；5、负责指导及解决开发过程中遇到的技术问题；6、负责按照公司的软件开发规范编写相关项目技术文档；任职资格:1、高级为5年经验以上，有需求分析、系统设计经验优先；中级为3到5年经验。2、深入理解python开发语言，业务理解能力强优先；熟悉并发、多线程和锁，分布式，缓存，消息队列等机制；熟悉JVM，包括内存模型、类加载机制以及性能优化；3、较强的数据处理和数据可视化技能，可处理结构化，非结构化和半结构化数据。4、熟悉至少一个框架，如Django，Flask，Node.js，Tornado等5、了解数据处理和可视化相关Python包，包括pandas，numpy，scipy，pyspark，bokeh，ggplot，plotly等。6、熟悉分布式系统的架构设计，熟悉常规中间件（MySQL Nginx Redis Mongo ZooKeeper 等），能够调优7、熟悉可扩展应用程序背后的基本设计原理；8、熟悉前端三大框架vue、angular、react其中的一种，且有vue使用经验者优先；9、学习能力强，具备良好的问题定位、分析及解决能力；10、对微服务及组件开发有经验者优先；11、熟悉DevOps、Docker、k8s，熟悉互联网公司的运维工作和发布、环境交付流程；12、对高并发、高可用架构系统有深刻的理解，有分布式系统开发经验者优先；13、同时熟悉java、python、go等多种开发语言者优先14、有开源项目者优先（提交请附上github地址）职能类别：Python开发工程师高级软件工程师关键字：PYTHONJAVA微信分享
python/编程讲师/计算机讲师,童程童美教育集团无锡分公司,0.6-1万/月,无锡-梁溪区,本科,无需经验,07-03发布,招2人,健康路28号4楼,上市公司,5000-10000人,"教育/培训/院校,计算机软件",岗位职责1)负责组织上课的整体流程，讲授课程；2)负责与学员及家长进行沟通、交流，解答学员的疑惑，服务好家长；3)承担课程的辅导、答疑、批改作业、组织课程讨论等教学环节工作；4)配合并完成班主任和咨询老师的相关工作；任职资格：1)本科及以上学历，计算机、理工科、师范类相关专业;2)熟悉Java、JavaScript、python、C++、PHP等编程语言中的一门;3)普通话标准，具备良好的口头及书面表达能力、逻辑思维能力;4)有较强亲和力，热爱教育事业;晋升空间：助理讲师-初级讲师-高级讲师-金牌讲师-教学专家助理讲师-初级讲师-教学主管-教学经理-教学总监薪酬福利：薪资构成:底薪+绩效平均薪资:6k-10k福利：入职即缴纳五险一金、餐补、岗前带薪培训、法定节假日、生日福利、购房乐居计划等上班地点：无锡市梁溪区健康路28号4楼；滨湖区玉兰西花园38-9（地铁1号线市民中心地铁站8号口出）职能类别：讲师/助教培训讲师关键字：python讲师编程少儿编程计算机微信分享
python大数据分析工程师,东营米文网络科技有限公司,0.8-1.5万/月,海口,本科,3-4年经验,07-03发布,招6人,秀英区附近,民营公司,少于50人,计算机软件,岗位职责及要求：1.计算机本科及以上学历，具备3-5年Python开发相关工作经验；2.精通Python，熟练掌握各种数据分析算法及机器学习和神经网络计算模型，具备丰富实际数据分析项目工作经验；3.具备非结构化文档数据处理及语义分析经验者优先；4.熟练使用SQL，熟悉NoSQL者优先；熟练使用Linux/Unix系统；5.具有软件工程基础知识，熟练使用开发工具和代码管理工具；6.有参与敏捷开发或其他团队协作模式开发经验；7.具备良好的沟通能力，富有责任心，思维逻辑清晰，语言/书面表达能力强。8.没有良好学习能力或者意愿者，请勿扰。职能类别：软件工程师高级软件工程师关键字：后端开发pythonphp大数据人工智能互联网软件开发微信分享
Python开发工程师,广州寄锦教育科技有限公司,1-1.5万/月,广州-天河区,本科,2年经验,07-03发布,招1人,石牌桥丰兴广场B座2306-2309（太古汇对面）,民营公司,150-500人,教育/培训/院校,岗位职责：1.参与需求分析，负责数据中心业务平台的开发，维护，测试，以及优化2.与大数据后台及算法模块对接测试岗位要求：1、熟练掌握基础数据结构和python开发；2、2年以上python web开发经历；3、熟悉常用的开源web框架，如tornado，flask，django等；4、熟悉数据库技术，mysql、mongodb、redis，熟悉 Nginx 等应用服务器软件；5、深刻理解 Web 应用相关的标准，网络通信协议和网络安全的应用实践；6、有bi报表开发经验优先职能类别：软件工程师关键字：python微信分享
Python全栈工程师,上海柯林布瑞信息技术有限公司,1.5-2.5万/月,上海-徐汇区,硕士,3-4年经验,07-03发布,招1人,徐汇区宜山路700号B2栋1504单元（上海普天信息产业园）,民营公司,150-500人,"计算机软件,互联网/电子商务","1.配合AI部门搭建基于django分析平台;2.负责前端页面;3.配合后台模型集成.任职要求：1.硕士及以上学历，3-5年相关工作经验；2.有使用Tornado或者Django构建应用经验;3.熟练HtmlCSS和JS等前端技术，不限于Vue,React等框架;4.熟悉常见RDBMS操作;5.具有Linux系统环境下的开发经验;6.熟练使用pandas，并对pandas的高级用法有一定理解;7.有独立开发产品的能力.职能类别：Python开发工程师关键字：PythonJavaScriptRDBMSpandasTornadoDjangoHtmlCSSVue微信分享"
Python软件开发工程师（信息所）,浙江清华长三角研究院,1-2万/月,嘉兴,本科,1年经验,07-03发布,招若干人,浙江省嘉兴市南湖区,事业单位,150-500人,"学术/科研,教育/培训/院校",任职要求：1、计算机或软件相关专业毕业，本科或以上学历；2、具有一年以上python开发经验；3、熟悉python语言，熟悉常用库的使用，熟悉Django、tornado、web、py等web框架中的一种；4、熟练使用Linux、MYSQL数据库、sqlalchemyorm；5、具备良好的编码习惯及开发文档书写习惯；6、具备较强的沟通协调能力，分析解决问题能力，团队合作能力和敬业精神。联系人： 刘小姐18705838410邮箱地址： likang@sanlogic.com liuyy@sanlogic.com职能类别：Python开发工程师微信分享
Python开发实习生,沈阳中辉云科技有限公司,4.5-6千/月,沈阳,大专,,07-03发布,招若干人,和平区,民营公司,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",能力素质要求：1、热爱编程开发；2、逻辑能力突出；3、具备良好的沟通能力；4、熟悉Python语言及相关开发框架；5、掌握数据库基础技能。职能类别：Python开发工程师微信分享
资深Python后端开发工程师（苏州）(J10345),江苏创源电子有限公司,1.5-2万/月,苏州-吴江区,本科,5-7年经验,07-03发布,招1人,华鸿路609号,民营公司,500-1000人,"仪器仪表/工业自动化,机械/设备/重工",工作职责:1、开发ERP、MES、OA、APP以及面向工业产线的智能设备和WEB服务2、参与系统需求分析、评审，并负责系统架构设计；3、独立进行系统功能模块的分析设计和核心功能的开发、bug修改、测试；4、参与产品设计，在产品接口设计，模型设计等中间过程中发挥主导作用5、编写相关技术文档；任职资格:1、5年以上开发经验，计算机相关专业本科以上学历；2、熟练掌握面向对象技术，具有较强的需求分析能力和逻辑思维能力；3、精通Python语言，精通多线程编程，熟悉Linux操作系统，掌握常用的Linux命令，熟悉脚本编程shell、Python、C、C++；4、熟悉JAVA语言5、熟悉 Docker、Django 和 Tornado 框架等分布式架构；熟悉前后端分离架构模型；6、熟练进行数据库表设计，精通SQL语句设计，熟悉Postgres/Mysql/SQl Server等数据库，能对系统进行SQL和数据库性能优化，有大规模、高并发访问的Web应用系统设计和开发经验优先；7、熟悉常见的数据结构，掌握分布式算法和分布式系统的技术原理；8、有信息化系统开发或者二开经验（比如金蝶EAS、金蝶K3、用友NC、用友T+、infor、SAP、泛微等）的优先9、有较强的自学能力和设计能力，掌握缓存设计、设计模式、消息队列、性能调优和运维经验者优先10、能够快速学习，有良好的团队合作能力职能类别：Python开发工程师微信分享
python开发工程师,宁波渠成集团有限公司,12-20万/年,宁波,本科,2年经验,07-03发布,招1人,鄞州区惠风东路利时金融大厦1号,民营公司,150-500人,贸易/进出口,"岗位职责：1、负责公司数据源抓取需求，满足公司对多源数据采集要求；2、负责开发分布式爬虫框架，管理分布式爬虫服务器，开发任务调度引擎；3、负责爬虫核心算法的策略优化研究，提升爬虫抓取效率和质量，提升网页抓取的效率和质量；4、设计爬虫策略和防屏蔽规则，解决封账号、封IP、验证码、JS加密等难点攻克；5、利用主流的大数据相关技术，对抓取后的网页数据进行清洗、存储等；并持续优化平台，以便满足各种爬取业务需求。岗位要求：1、2年及以上相关工作经验者优先；有扎实的数据结构和算法功底；2、工作认真细致踏实，有较强的学习能力，熟悉常用爬虫工具；3、熟悉linux开发环境，熟悉python，熟悉其他开发语言优先；4、理解http，熟悉html,DOM,xpath,css,js,ajax；5、有Python分布式抓取系统的开发、架构经验，至少熟悉并使用过一种主流爬虫架构，如Scrapy、Gocolly、Webmagic等；6、熟悉反爬策略的应对，能够解决封账号、封IP、验证码、JS加密等问题；7、熟悉Mysql、Redis、MongoDB等数据库，有过数据库调优和海量数据存储经验者优先。职能类别：Python开发工程师爬虫开发工程师关键字：pythonscrapy数据分析爬虫微信分享"
Python算法工程师-上海-00079,北软互联（北京）科技有限公司,1.5-1.9万/月,上海-宝山区,大专,2年经验,07-03发布,招10人,宝山区,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)","职责描述：1、根据项目需求，开发和维护python算法框架；2、进行金融工程指定算法实现；3、python相关系统的测试、安装部署、性能调优、技术支持等工作。4、负责研发基于数理模型及人工智能算法的做市以及自营交易算法， 涵盖银行间市场主要交易资产类别，包含债券，外汇，贵金属等现货及各衍生品；5、与客户业务部门紧密合作，负责客户委托的策略开发工作；6、与公司开发团队紧密合作，负责把编辑的策略嵌入部署至系统中。任职要求：1、全日制大学本科及以上，数学、物理及计算机或相关专业；2、具备2年以上python开发经验，有实际项目开发；对数据敏感，具备优秀的数据分析能力；3、熟悉Windows及Linux下python的安装、部署及调试；4、具备良好的沟通协调能力和团队合作意识，工作踏实，态度积极，能够承受工作压力；5、熟悉金融行业基本知识及有金融工程算法开发实现经验者优先；6、熟练使用python, R, matlab任意一项或者多项编程语音；职能类别：算法工程师软件工程师微信分享"
python工程师/实习生,青岛垚盛鑫互联网科技有限公司,4.5-6千/月,青岛-市南区,大专,无需经验,07-03发布,招6人,青岛市市南区东海西路凯旋大厦西塔8A,民营公司,50-150人,互联网/电子商务,技能要求：Python，需求分析，游戏开发，网络爬虫，数据挖掘1、负责公司Python项目开发与优化2、管理公司数据库，包括MySQL/redis等3、保证服务端的稳定性，可扩展性，安全性和效率4、相关的工具开发、相关文档的书写5、具有较好的沟通和自学能力，优秀的团队协作能力和执行力。年龄：20~28周岁 经验不限福利待遇：1、五险一金，五险（ 养老保险、医疗保险、实业保险、工伤保险和生育保险国家规定项目）、住房公积金；2、有薪假期（法定节假日、年休假、婚假、产假）3、合理的工作时间：朝九晚六，周末双休人性化福利：生日慰问金、节日福利、定期团建职能类别：Python开发工程师关键字：python微信分享
少儿乐高、编程Python老师,上海欧思培教育培训有限公司,6-8千/月,上海-闵行区,大专,1年经验,07-03发布,招2人,闵行区春申路3555号A座6F（地铁1号线莘庄站/5号线春申路站）,民营公司,50-150人,教育/培训/院校,1、担任主讲老师，教授少儿学习计算机、编程2、熟悉编程语言（乐高、Python）3、协助课程顾问，对家长说明技术及课程发展4、善于学习，配合公司课程开发5、具有讲解能力、善于沟通，人际亲和力强，口齿清晰，表达流利6、专科以上学历，拥有教师资格证者优先职能类别：幼教职业技术教师关键字：编程乐高微信分享
Senior (Python/Spark/Scala Consultant) - China A&A Transformation (职位编号：252247),德勤华永会计师事务所（特殊普通合伙）,,北京,本科,2年经验,07-03发布,招若干人,,合资,500-1000人,"专业服务(咨询、人力资源、财会),会计/审计","About the BusinessWe help our clients achieve business objectives, accomplish fund raising activities, strengthen management capabilities and minimize enterprise risks through the use of our unique Deloitte Audit risk-based approach. Our clients include major multinational corporations, listed companies and other leading companies in both Hong Kong and Mainland China. Facilitated by our own state of the art technology EMS (Engagement Management System), our professionals who are experienced in both local and international laws / regulations deliver efficient and cost effective audit solutions to our clients.Work you‘ll doResponsible for providing digital advisory services with in-depth technical capabilities using your expertise, including:Assists in the design and development of business strategies around innovative solutions for auditCaptures user requirements and translate them into business and digital enabled solutionsCreates well-articulated and specific functional documentationConducts user reviews and assist in the running of stakeholder meetingsAssists in the management of senior stakeholderUnderstands and translate the needs into business and technology solutions, providing consultation on the customer e-technology journey and transformationAnalyses As-Is and To-Be processes to define system/technology/business requirementsSupports the delivery of quality functional/application designsSupports the development and implementation of quality business solutions and align delivery to business goalsAssists in proposal developmentsActs with honesty and integrity, builds advanced knowledge of ethical and professional standards and Deloitte processes to safeguard client confidentiality and the Deloitte's reputationBuilds trust and credibility with stakeholders, while maintaining independence where required, by seeking to understand their service levels expectations and what matters to them individuallyIdentifies and contributes to opportunities and is aware of the storefront and what services can be provided to client base. Contributes to the chosen focus area/sA fit for the role? Let's talk about you.We are looking for someone with:Bachelor or Master of Science in Computer Science, Information Systems, Engineering, or a related fieldAt least two years in IT consulting or delivery experienceKnowledge of web-based and mobile platforms for eCommerce sites/apps, Portals, and/or Content Management SystemsExperience in technology project delivery and project managementExperience in eCommerce or Digital Transformation is a plusExperience in market trends and emerging technologies such as Artificial Intelligence/Cognitive, Big Data, Internet of Things, FinTech, etcGood collaboration skills and able to deal with both business users and technical personnelAbility to work independently and think creativelyFlexibility in learning new topics, handling change and deadlinesGood oral and written communication skills in both English and Chinese职能类别：专业顾问微信分享"
Python开发工程师（中级）,天津鑫裕建设发展股份有限公司,0.6-1.2万/月,天津-河西区,本科,3-4年经验,07-03发布,招5人,越秀路,民营公司,150-500人,建筑/建材/工程,"1、负责基于Python产品的设计开发工作；2、进行详细设计，代码开发，配合测试完成项目；3、参与技术难题攻关、知识库积累等工作；任职要求：1、具有3年及以上Python开发经验；2、熟练掌握Django,Flask，Tornado等框架；熟悉Web部署；3、熟悉常用的CI工具,Jenkins,Git等；4、精通MySQL，熟悉配置、部署，精通SQL调优和数据结构设计；5、熟悉主流缓存和消息中间件；6、有*******和微信公众号经验优先。职能类别：软件工程师微信分享"
高级软件工程师  Golang/Python,迈韦尼通讯技术（上海）有限公司,2-6万/月,上海-长宁区,本科,3-4年经验,07-03发布,招5人,凯旋路1010号 A座4-5楼,外资（欧美）,1000-5000人,通信/电信/网络设备,职责:开发私有云平台部署代理参与需求分析讨论参与技术方案选型产品架构设计和实现技能要求:计算机或相关专业硕士毕业2年，或本科毕业4年IT行业工作经验扎实的PaaS相关工作经验，熟悉KVM，OSP以及K8S等虚拟化平台原理多年golang或Python开发经验熟悉Ansible等运维工具，***有集成经验有Netconf或TR69等配置管理协议的开发经验良好的沟通能力和团队合作精神，工作积极主动可以阅读英文资料职能类别：Python开发工程师通信技术工程师微信分享
Python开发人员,厦门中控智慧信息技术有限公司,5.5-6.5千/月,厦门,大专,1年经验,07-03发布,招若干人,厦门市集美区诚毅北大街8号2001室,民营公司,500-1000人,计算机软件,"岗位职责：- 负责海外考勤产品的需求评估及开发和维护；- 长期海外外派出差，进行本地化开发及维护；技能要求- 熟练使用 Django框架进行开发；- 熟练使用Oracle/MySQL/PostgreSQL/MSSQL；- 熟练使用 SVN/GIT等代码管理工具；- 熟练使用 Memcached/Redis 等内存数据库；- 熟练使用 Javascript/Jquery 等进行前端开发- 具备较强的沟通能力及逻辑思维处理能力；- 具备较强的英语沟通能力,英语水平CET-4及以上- 积极主动，有责任心，具备团队协作能力；该岗位周末双休，Base厦门【来这里你将能得到】薪酬待遇：同行业高标准薪酬+五险一金+年终奖金；晋升机制：每年定期职级晋升与调薪，机会自己掌控；技术培训：基于Springboot和SpringCloud的微服务理念、分布式技术、Redis性能调优·····哪里不会问哪里工作时间：朝九晚六，双休，8小时工作制上班时间两种方式自选；午餐补贴：每个工作日所有员工都享有午餐补贴；水果零食：部门及公司定期水果供应+长期投食的零食箱；员工公寓：免费一年的员工公寓，不再担心租房被坑；健康守护：年度体检福利，保持健康的身体和充足的活力；团建经费：丰厚的团建经费，想去哪嗨，就去哪嗨；员工社团：篮球社、羽毛球社；夜跑团等。职能类别：Python开发工程师微信分享"
Python开发工程师,广州悦谦科技有限公司,1.5-3万/月,广州-海珠区,本科,3-4年经验,07-03发布,招1人,新港中路艺苑南路13号大院11栋2单元301,民营公司,50-150人,"金融/投资/证券,计算机软件",工作职责:1.参与风控平台功能研发与维护；2.参与系统性能优化和改进；3.对反欺诈数据获取并进行相应处理。任职要求:1.2年以上开发经验；熟练使用 Python 语言，熟悉 Web 编程、网络编程(TCP/HTTP 协议)，具有Linux 下编程经验和操作经验；2.熟悉 MongoDB/MySQL 数据库，能根据业务需求快速设计高效的数据库，数据库性能优化；3.熟悉 IO、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制；4.熟悉常用的数据结构和算法，熟悉常见设计模式；良好的编码规范；5. 具有高度的责任心，具备良好的沟通能力和团队协作精神。有以下经验优先：1.对编程有热情，喜欢学习新技术；2.有基于 Hadoop、Spark 的大数据处理经验更好3.有各类统计模型或机器学习模型设计开发的实际工作经验职能类别：Python开发工程师关键字：python软件开发金融信贷微信分享
Python高级开发工程师,释空（上海）品牌策划有限公司,1.5-2万/月,上海-松江区,大专,3-4年经验,07-03发布,招1人,松江区莘砖公路668号B座302室,创业公司,少于50人,广告,"1、 参与公司CRM系统, 报价系统,下单系统, 文件存储共享系统等核心项目的工程化架构设计，系统优化；2、解决项目开发过程中的技术难题；3、配合项目的整体计划和安排，负责所属模块的代码开发、调试与维护工作；4、协助并完成其它各类技术开发任务；岗位要求：1、计算机或者相关专业，本科以上学历，3年以上后端开发经验；2、熟悉Python后端开发，熟悉面向对象和设计模式，良好的编码习惯，代码结构清晰、命名规范，有一定的技术栈深度；3、熟悉Django、Tornado、Flask、Celery等至少一种Python流行的相关框架；4、熟悉SQL，熟悉MySQL、PostgreSQL、MongoDB等数据库中的至少一种或若干种应用开发，熟悉RabbitMQ、Redis等；5、熟悉linux/Unix常用操作命令，了解shell；6、严谨的逻辑思维，强烈的技术热情，善于合作，有规范化文档编写良好习惯；职能类别：高级软件工程师微信分享"
急聘c/c++/python/java初级开发工程师,大连天宇商务信息咨询有限公司,6-8千/月,大连-沙河口区,大专,1年经验,07-03发布,招5人,期货大厦,民营公司,50-150人,"金融/投资/证券,互联网/电子商务",1.量化因子的开发及代码的实现2.编写团队已开发的量化因子及模型3.领导交付的其他工作等职位要求：1、年龄20-29岁之间2、有语言基础经验者3、金融数学/软件相关专业优先4、一年以上工作经验5、本社招募，公司重点培养职能类别：软件工程师关键字：软件开发javacc++微信分享
软件测试工程师（C++、java、python）,北京天行汇通信息技术有限公司,1-2万/月,北京,本科,2年经验,07-03发布,招若干人,北京市海淀区中关村软件园2A楼2101,民营公司,150-500人,"互联网/电子商务,通信/电信运营、增值服务",职位描述：1.根据项目说明、设计文档、使用说明书等，做好测试前的准备工作，保证产品测试工作的计划性与规范性；2.按照测试流程、计划以及对产品特性的把握，编写测试案例，确保测试目的的达成；3.根据测试计划及测试案例，执行测试，确保在软件发布前基本排除其缺陷；4.根据测试结果，与开发部门等反复沟通测试情况，修正测试中发现的缺陷，完善软件性能；5.整理测试文档，编写测试总结；6.完成测试相关工具的开发。任职资格：1.学历要求：-毕业于211或985院校、统招本科及以上学历。2.能力要求：-熟悉java、C/C++、Python其中一种语言，具备软件工程理论知识，精通软件测试理论及测试方法；-能够熟练书写测试脚本、测试用例，熟练使用各种测试工具；-熟悉Junit/gtest/unittest其中一种框架。3.优先考虑：-有团队管理经验者优先。职能类别：软件测试工程师系统测试微信分享
Python自动化测试,深圳市广和通无线股份有限公司,1-1.5万/月,西安-高新技术产业开发区,本科,2年经验,07-03发布,招5人,西安市高新区天谷八路156号软件新城研发基地二期C3栋16楼,上市公司,1000-5000人,"通信/电信/网络设备,通信/电信运营、增值服务",职位信息：1、根据业务系统需求编写自动化测试脚本、执行测试，出具报告2、维护和优化自动化测试脚本3、跟踪缺陷，推动问题及时解决，协助开发定位自动化测试过程中发现的问题4、负责性能测试与问题定位任职要求：1、至少2年以上基于Python的自动化测试开发经验2、计算机相关专业，本科及以上学历3、有较好的沟通能力和需求理解能力4、熟悉自动化测试知识与自动化测试框架知识5、熟悉测试流程、测试规范和测试用例的设计6、 熟练使用git或svn版本管理工具职能类别：软件测试工程师微信分享
